Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Heating,Waterfront,Sewer,Pool,Garden,Balcony
499900.0,1.0,1.0,474.0,49.235968,-123.0279816,0.0,Yes,Yes,No,radiant,No,none,No,No,No
2550000.0,3.0,4.0,1810.0,49.2521907,-123.1824969,0.0,Yes,No,No,heat pump,No,none,No,No,No
1800000.0,5.0,2.0,2063.0,49.2602494,-123.0758352,0.09,Yes,Yes,Yes,forced air,No,none,No,No,No
3499900.0,6.0,3.0,1968.0,49.239776,-123.0390521,0.09,Yes,Yes,Yes,forced air,No,none,No,No,No
1639900.0,3.0,4.0,1507.0,49.2569122,-123.0809244,0.15,Yes,Yes,No,boiler,No,none,No,No,No
1298000.0,2.0,3.0,1106.0,49.2627393,-123.1055932,0.0,Yes,No,Yes,radiant,No,none,No,No,No
618800.0,1.0,1.0,544.0,49.277056,-123.128843,0.0,No,Yes,No,forced air,No,none,No,No,No
719000.0,1.0,1.0,600.0,49.2696259,-123.1085956,0.0,Yes,Yes,No,boiler,No,none,No,No,No
2098000.0,6.0,2.0,2236.0,49.218688,-123.0488409,0.11,Yes,Yes,No,forced air,No,none,No,No,No
1600000.0,3.0,4.0,1540.0,49.2186875,-123.1010981,0.1,Yes,Yes,No,radiant,No,none,No,No,No
1699000.0,5.0,3.0,2170.0,49.2512859,-123.0539415,0.09,Yes,Yes,Yes,boiler,No,none,No,No,No
1108000.0,2.0,3.0,958.0,49.287292,-123.1238855,0.0,Yes,Yes,No,radiant,No,none,No,No,No
1068000.0,2.0,2.0,1242.0,49.2056399,-123.0285991,0.0,Yes,Yes,No,forced air,No,none,No,No,No
649000.0,1.0,1.0,704.0,49.2644225,-123.1494271,0.0,Yes,Yes,No,boiler,No,none,No,No,No
1448000.0,2.0,2.0,1076.0,49.2735353,-123.114101,0.0,Yes,Yes,No,radiant,No,none,No,No,No
799900.0,2.0,1.0,942.0,49.2523631,-123.1271141,0.0,Yes,No,No,radiant,No,none,No,No,No
989898.0,2.0,2.0,1340.0,49.2684378,-123.1358284,0.0,Yes,Yes,No,radiant,No,none,No,No,No
2399000.0,3.0,4.0,1547.0,49.2595383,-123.1830421,0.0,Yes,No,Yes,radiant,No,none,No,No,No
1550000.0,3.0,3.0,1217.0,49.2735337,-123.0384071,0.0,Yes,No,Yes,radiant,No,none,No,No,No
669900.0,1.0,1.0,615.0,49.2672399,-123.0957596,0.0,Yes,Yes,No,boiler,No,none,No,No,No
