Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price,name
525000.0,1.0,1.0,521.0,49.2112675,-123.0897125,0.0,No,No,No,No,No,No,No,13.171155446333852,Sunset
1989000.0,2.0,3.0,1452.0,49.2207872,-123.14121,0.0,Yes,Yes,No,No,No,No,No,14.503143060601191,Kerrisdale
3688000.0,7.0,4.0,4507.0,49.2358923,-123.1834102,0.15,Yes,No,Yes,No,No,No,No,15.12059513480826,Dunbar-Southlands
628000.0,1.0,1.0,559.0,49.2840532,-123.1132837,0.0,Yes,No,No,No,No,No,No,13.350297037805756,Downtown
638900.0,1.0,1.0,758.0,49.2351422,-123.0261651,0.0,Yes,Yes,No,No,No,No,No,13.36750479177938,Renfrew-Collingwood
988000.0,2.0,3.0,1086.0,49.2477757,-123.1215182,0.0,No,No,No,No,No,No,No,13.80343898887524,South Cambie
4788000.0,2.0,3.0,2005.0,49.2885563,-123.1180593,0.0,Yes,Yes,Yes,No,No,No,No,15.381623554515452,Downtown
715000.0,2.0,1.0,704.0,49.232991,-123.023952,0.0,Yes,No,No,No,No,No,No,13.480039220276565,Renfrew-Collingwood
819900.0,1.0,1.0,794.0,49.2599842,-123.1204298,0.0,Yes,Yes,No,No,No,No,No,13.61693888024446,Fairview
595000.0,1.0,1.0,606.0,49.2773815,-123.1273306,0.0,Yes,Yes,No,No,No,No,No,13.296318365198625,Downtown
1868888.0,3.0,3.0,1562.0,49.2337592,-123.1100599,0.0,Yes,No,Yes,No,No,No,No,14.440854694625887,Riley Park
3988000.0,4.0,3.0,3292.0,49.2420946,-123.1870348,0.15,Yes,No,Yes,No,No,No,No,15.198800660816092,Dunbar-Southlands
6500000.0,3.0,5.0,4835.0,49.2468958,-123.1455245,0.25,Yes,Yes,Yes,No,No,No,No,15.687312888712007,Shaughnessy
915000.0,2.0,2.0,746.0,49.2689672,-123.0704552,0.0,Yes,Yes,No,No,No,No,No,13.726680437153236,Grandview-Woodland
1688000.0,2.0,3.0,1184.0,49.2264236,-123.1228577,0.0,Yes,Yes,No,No,No,No,No,14.339055546554926,Oakridge
785000.0,1.0,1.0,754.0,49.2672399,-123.0957596,0.0,Yes,Yes,No,No,No,No,No,13.573440270649083,Strathcona
1249000.0,2.0,2.0,915.0,49.2749667,-123.1153764,0.0,Yes,No,No,No,No,No,No,14.037854589747909,Downtown
659000.0,1.0,1.0,599.0,49.2780963,-123.1156255,0.0,Yes,Yes,No,No,No,No,No,13.398480330934175,Downtown
1499999.0,4.0,2.0,1624.0,49.2529857,-123.0756326,0.08,No,No,No,No,No,No,No,14.22097566607244,Kensington-Cedar Cottage
768000.0,1.0,1.0,716.0,49.2354608,-123.0274905,0.0,Yes,Yes,No,No,No,No,No,13.551546314212295,Renfrew-Collingwood
1099000.0,2.0,2.0,854.0,49.2689672,-123.0704552,0.0,Yes,No,No,No,No,No,No,13.909912143303451,Grandview-Woodland
949000.0,2.0,2.0,876.0,49.278458,-123.1295091,0.0,Yes,Yes,Yes,No,No,No,No,13.76316513133229,Downtown
899000.0,2.0,2.0,1012.0,49.2756184,-123.1341972,0.0,Yes,No,No,No,No,No,No,13.70903942580019,Downtown
899000.0,2.0,2.0,1022.0,49.2841489,-123.0584947,0.0,Yes,Yes,No,No,No,No,No,13.70903942580019,Grandview-Woodland
2298000.0,5.0,2.0,2434.0,49.2377767,-123.096275,0.09,Yes,Yes,No,No,No,No,No,14.647550172551751,Riley Park
