Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,log_price
550000.0,3.0,2.0,995.0,49.2615234,-123.053316,0.0,Yes,Yes,No,No,No,No,No,13.217675375388819
1899000.0,5.0,4.0,1746.0,49.2230654,-123.0742259,0.11,Yes,No,No,No,No,No,No,14.456838516387228
1095000.0,2.0,2.0,894.0,49.2677333,-123.1429678,0.0,Yes,Yes,Yes,No,No,No,No,13.90626583447433
3688000.0,8.0,6.0,3932.0,49.2202777,-123.0956723,0.11,Yes,No,No,No,No,No,No,15.120595134808259
808000.0,1.0,2.0,883.0,49.228178,-123.1176167,0.0,Yes,No,Yes,No,No,No,No,13.60231857512623
589900.0,1.0,1.0,479.0,49.232991,-123.023952,0.0,Yes,Yes,No,No,No,No,No,13.287710005192306
735000.0,1.0,1.0,642.0,49.2761893,-123.12245,0.0,Yes,Yes,No,No,No,No,No,13.507627138738266
1398000.0,3.0,3.0,1281.0,49.2165201,-123.129695,0.0,Yes,Yes,No,No,No,No,No,14.150553917083219
649000.0,1.0,1.0,508.0,49.2760391,-123.1264715,0.0,Yes,Yes,No,No,No,No,No,13.38318953651709
2299900.0,2.0,3.0,1675.0,49.2640279,-123.2055215,0.0,Yes,No,Yes,No,No,No,No,14.64837663649472
1038000.0,2.0,2.0,1038.0,49.2792683,-123.1274721,0.0,Yes,Yes,No,No,No,No,No,13.852807306098644
1139000.0,2.0,2.0,1069.0,49.2798569,-123.1266061,0.0,Yes,Yes,No,No,No,No,No,13.94566212039206
3888000.0,4.0,3.0,2522.0,49.2673265,-123.0536571,0.18,Yes,No,Yes,No,No,No,No,15.17340570176408
1098000.0,2.0,2.0,878.0,49.2622565,-123.2441688,0.0,Yes,Yes,No,No,No,No,No,13.90900181179801
489000.0,1.0,1.0,542.0,49.2770618,-123.1309189,0.0,Yes,Yes,No,No,No,No,No,13.100119813444692
2338000.0,4.0,2.0,1964.0,49.2649211,-123.182322,0.09,Yes,Yes,Yes,No,No,No,No,14.664806848730056
3999000.0,2.0,3.0,2441.0,49.2859438,-123.1238552,0.0,Yes,Yes,Yes,No,No,No,No,15.20155513789144
525000.0,1.0,1.0,521.0,49.2112675,-123.0897125,0.0,No,No,No,No,No,No,No,13.171155446333852
1989000.0,2.0,3.0,1452.0,49.2207872,-123.14121,0.0,Yes,Yes,No,No,No,No,No,14.503143060601191
3688000.0,7.0,4.0,4507.0,49.2358923,-123.1834102,0.15,Yes,No,Yes,No,No,No,No,15.120595134808259
628000.0,1.0,1.0,559.0,49.2840532,-123.1132837,0.0,Yes,No,No,No,No,No,No,13.350297037805756
638900.0,1.0,1.0,758.0,49.2351422,-123.0261651,0.0,Yes,Yes,No,No,No,No,No,13.36750479177938
988000.0,2.0,3.0,1086.0,49.2477757,-123.1215182,0.0,No,No,No,No,No,No,No,13.803438988875241
4788000.0,2.0,3.0,2005.0,49.2885563,-123.1180593,0.0,Yes,Yes,Yes,No,No,No,No,15.381623554515452
715000.0,2.0,1.0,704.0,49.232991,-123.023952,0.0,Yes,No,No,No,No,No,No,13.480039220276565
819900.0,1.0,1.0,794.0,49.2599842,-123.1204298,0.0,Yes,Yes,No,No,No,No,No,13.61693888024446
595000.0,1.0,1.0,606.0,49.2773815,-123.1273306,0.0,Yes,Yes,No,No,No,No,No,13.296318365198623
1868888.0,3.0,3.0,1562.0,49.2337592,-123.1100599,0.0,Yes,No,Yes,No,No,No,No,14.440854694625887
3988000.0,4.0,3.0,3292.0,49.2420946,-123.1870348,0.15,Yes,No,Yes,No,No,No,No,15.198800660816092
